iter	Passed	Remaining
0	164	163921
1	166	83065
2	168	56097
3	171	42605
4	173	34469
5	175	29002
6	177	25174
7	179	22286
8	181	20013
9	184	18223
10	186	16764
11	188	15528
12	190	14489
13	193	13594
14	194	12803
15	197	12117
16	199	11536
17	202	11034
18	217	11254
19	219	10775
20	222	10355
21	224	9977
22	226	9621
23	228	9287
24	230	8995
25	233	8738
26	235	8485
27	237	8245
28	239	8025
29	241	7817
30	243	7612
31	245	7430
32	247	7260
33	250	7117
34	252	6969
35	254	6824
36	256	6685
37	259	6558
38	261	6443
39	263	6335
40	266	6226
41	268	6118
42	270	6015
43	271	5899
44	273	5800
45	275	5710
46	277	5630
47	280	5556
48	282	5476
49	284	5409
50	286	5336
51	288	5265
52	290	5197
53	293	5137
54	295	5077
55	297	5015
56	299	4961
57	301	4903
58	304	4853
59	306	4802
60	308	4754
61	311	4709
62	313	4662
63	316	4621
64	318	4576
65	320	4530
66	322	4485
67	324	4445
68	326	4406
69	328	4365
70	330	4324
71	332	4289
72	334	4251
73	336	4212
74	338	4178
75	341	4146
76	349	4190
77	351	4157
78	353	4116
79	355	4085
80	357	4056
81	359	4028
82	364	4025
83	366	3995
84	368	3965
85	370	3936
86	372	3911
87	375	3887
88	377	3860
89	379	3838
90	381	3806
91	382	3779
92	384	3754
93	387	3732
94	389	3709
95	394	3718
96	397	3696
97	399	3674
98	401	3654
99	403	3635
100	406	3618
101	408	3600
102	411	3582
103	413	3565
104	415	3543
105	417	3525
106	420	3507
107	422	3490
108	424	3471
109	426	3453
110	428	3435
111	431	3417
112	433	3401
113	435	3384
114	439	3383
115	455	3474
116	458	3457
117	459	3436
118	462	3420
119	464	3403
120	466	3389
121	468	3373
122	471	3360
123	473	3345
124	475	3326
125	477	3310
126	479	3293
127	481	3279
128	483	3265
129	486	3258
130	489	3247
131	491	3233
132	493	3218
133	495	3205
134	498	3191
135	500	3180
136	502	3167
137	505	3156
138	507	3144
139	509	3131
140	511	3117
141	514	3106
142	516	3096
143	530	3150
144	532	3139
145	535	3131
146	538	3121
147	540	3111
148	542	3100
149	546	3095
150	549	3089
151	552	3083
152	555	3073
153	557	3064
154	573	3127
155	576	3116
156	578	3106
157	581	3096
158	583	3087
159	588	3092
160	605	3153
161	607	3143
162	611	3137
163	619	3159
164	622	3148
165	624	3136
166	634	3164
167	636	3153
168	639	3143
169	641	3134
170	644	3125
171	647	3114
172	649	3105
173	651	3095
174	664	3130
175	666	3120
176	668	3109
177	671	3099
178	673	3090
179	676	3082
180	679	3073
181	681	3064
182	684	3054
183	686	3044
184	694	3059
185	696	3048
186	699	3040
187	701	3030
188	703	3020
189	706	3010
190	709	3007
191	712	2996
192	714	2988
193	716	2977
194	718	2967
195	721	2957
196	723	2948
197	726	2940
198	728	2931
199	730	2922
200	732	2912
201	734	2902
202	737	2894
203	739	2885
204	756	2932
205	759	2926
206	762	2919
207	764	2910
208	767	2903
209	770	2897
210	774	2894
211	778	2895
212	782	2889
213	785	2883
214	831	3036
215	834	3027
216	837	3020
217	840	3016
218	843	3009
219	846	3001
220	849	2993
221	852	2987
222	855	2981
223	859	2977
224	862	2969
225	864	2960
226	866	2952
227	869	2943
228	871	2935
229	874	2928
230	905	3014
231	920	3047
232	922	3036
233	925	3029
234	927	3018
235	929	3008
236	931	2998
237	964	3089
238	967	3079
239	969	3069
240	971	3060
241	974	3052
242	976	3042
243	979	3033
244	981	3024
245	984	3016
246	986	3006
247	988	2997
248	990	2988
249	992	2978
250	994	2968
251	997	2959
252	999	2950
253	1001	2942
254	1004	2933
255	1006	2925
256	1025	2964
257	1027	2954
258	1029	2945
259	1041	2962
260	1043	2954
261	1046	2947
262	1048	2938
263	1051	2930
264	1054	2924
265	1056	2915
266	1058	2905
267	1060	2896
268	1062	2888
269	1065	2880
270	1067	2870
271	1069	2862
272	1071	2853
273	1073	2844
274	1075	2835
275	1077	2826
276	1080	2819
277	1081	2810
278	1084	2801
279	1086	2793
280	1088	2785
281	1090	2776
282	1092	2768
283	1095	2761
284	1097	2754
285	1100	2746
286	1102	2738
287	1103	2729
288	1105	2720
289	1107	2712
290	1109	2704
291	1111	2695
292	1113	2687
293	1129	2712
294	1131	2704
295	1134	2697
296	1145	2711
297	1148	2704
298	1150	2697
299	1152	2689
300	1155	2682
301	1157	2676
302	1160	2669
303	1162	2662
304	1165	2655
305	1167	2648
306	1169	2640
307	1172	2634
308	1174	2627
309	1176	2619
310	1178	2611
311	1181	2605
312	1184	2599
313	1186	2591
314	1188	2584
315	1190	2577
316	1192	2570
317	1195	2562
318	1197	2556
319	1199	2549
320	1202	2542
321	1204	2537
322	1207	2530
323	1209	2524
324	1212	2518
325	1214	2511
326	1216	2504
327	1219	2499
328	1222	2492
329	1224	2486
330	1227	2480
331	1230	2475
332	1232	2469
333	1235	2462
334	1237	2456
335	1240	2450
336	1242	2443
337	1244	2437
338	1246	2430
339	1248	2422
340	1250	2415
341	1251	2408
342	1253	2401
343	1255	2394
344	1257	2388
345	1260	2381
346	1261	2374
347	1263	2367
348	1265	2361
349	1267	2354
350	1270	2348
351	1272	2342
352	1274	2336
353	1276	2330
354	1278	2323
355	1280	2317
356	1283	2310
357	1285	2305
358	1287	2299
359	1289	2292
360	1291	2286
361	1293	2280
362	1295	2274
363	1298	2268
364	1300	2263
365	1303	2257
366	1305	2251
367	1307	2245
368	1309	2239
369	1311	2232
370	1313	2227
371	1316	2221
372	1318	2216
373	1320	2210
374	1322	2204
375	1325	2199
376	1327	2193
377	1329	2187
378	1331	2182
379	1334	2176
380	1339	2176
381	1341	2170
382	1343	2164
383	1345	2159
384	1348	2153
385	1350	2147
386	1351	2141
387	1354	2135
388	1356	2130
389	1358	2124
390	1360	2118
391	1369	2123
392	1384	2138
393	1386	2133
394	1388	2127
395	1390	2121
396	1392	2115
397	1395	2110
398	1397	2105
399	1399	2099
400	1401	2093
401	1403	2088
402	1405	2082
403	1407	2076
404	1409	2071
405	1411	2065
406	1413	2059
407	1415	2054
408	1417	2048
409	1419	2042
410	1421	2036
411	1423	2031
412	1425	2026
413	1427	2021
414	1429	2015
415	1431	2010
416	1433	2004
417	1435	1998
418	1437	1992
419	1439	1987
420	1441	1982
421	1443	1976
422	1444	1970
423	1446	1965
424	1449	1960
425	1450	1954
426	1452	1949
427	1454	1944
428	1456	1939
429	1459	1934
430	1461	1928
431	1463	1923
432	1465	1918
433	1466	1912
434	1468	1907
435	1470	1901
436	1472	1896
437	1474	1892
438	1476	1887
439	1478	1882
440	1480	1877
441	1482	1871
442	1483	1865
443	1485	1860
444	1488	1855
445	1490	1851
446	1492	1845
447	1493	1840
448	1495	1835
449	1497	1830
450	1499	1825
451	1501	1820
452	1503	1815
453	1505	1810
454	1507	1805
455	1509	1800
456	1511	1796
457	1513	1790
458	1515	1785
459	1516	1780
460	1519	1776
461	1521	1772
462	1524	1767
463	1526	1763
464	1528	1758
465	1530	1753
466	1532	1748
467	1534	1744
468	1536	1740
469	1539	1735
470	1540	1730
471	1543	1726
472	1549	1726
473	1551	1722
474	1553	1717
475	1555	1712
476	1558	1708
477	1560	1703
478	1561	1698
479	1562	1693
480	1564	1688
481	1566	1683
482	1569	1679
483	1570	1674
484	1572	1670
485	1574	1665
486	1576	1660
487	1578	1655
488	1580	1651
489	1582	1647
490	1584	1642
491	1586	1638
492	1594	1639
493	1596	1634
494	1598	1630
495	1599	1625
496	1601	1621
497	1603	1616
498	1624	1630
499	1625	1625
500	1627	1620
501	1629	1616
502	1631	1612
503	1633	1607
504	1635	1603
505	1637	1598
