[2024-11-20 16:37:56,977: INFO: main: welcome]
[2024-11-20 17:00:49,499: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:00:49,500: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:02:15,762: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:02:15,764: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:03:19,406: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:03:19,406: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:06:07,386: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:06:07,398: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:06:07,400: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:07:21,867: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:07:21,867: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:07:21,874: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:07:21,876: INFO: common: created directory at: artifacts]
[2024-11-20 17:07:21,877: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 17:07:21,880: INFO: 3063751822: File copied from test/kidney_disease.csv to artifacts/data_ingestion/data.csv]
[2024-11-20 17:14:21,386: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-20 17:14:21,387: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:14:21,389: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:14:21,389: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:14:21,389: INFO: common: created directory at: artifacts]
[2024-11-20 17:14:21,390: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 17:14:21,391: INFO: data_ingestion: File copied from test/kidney_disease.csv to artifacts/data_ingestion/data.csv]
[2024-11-20 17:14:21,392: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-20 17:16:50,323: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:16:50,325: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:16:50,327: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:16:50,327: INFO: common: created directory at: artifacts]
[2024-11-20 17:28:33,172: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:28:33,186: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:28:33,188: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:28:33,190: INFO: common: created directory at: artifacts]
[2024-11-20 17:29:59,426: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:29:59,426: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:29:59,431: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:29:59,432: INFO: common: created directory at: artifacts]
[2024-11-20 17:35:47,839: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:35:47,844: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:35:47,844: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:35:47,848: INFO: common: created directory at: artifacts]
[2024-11-20 17:36:42,176: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:36:42,179: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:36:42,180: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:36:42,181: INFO: common: created directory at: artifacts]
[2024-11-20 17:43:14,944: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:43:14,946: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:43:53,475: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:43:53,476: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:43:53,481: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:43:53,483: INFO: common: created directory at: artifacts]
[2024-11-20 17:43:53,484: INFO: common: created directory at: artifacts/data_validation]
[2024-11-20 17:47:30,890: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:47:30,892: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:47:30,892: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:47:30,892: INFO: common: created directory at: artifacts]
[2024-11-20 17:47:30,892: INFO: common: created directory at: artifacts/data_validation]
[2024-11-20 17:48:32,877: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:48:32,878: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:48:32,891: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:48:32,892: INFO: common: created directory at: artifacts]
[2024-11-20 17:48:32,894: INFO: common: created directory at: artifacts/data_validation]
[2024-11-20 17:56:38,634: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-20 17:56:38,634: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:56:38,634: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:56:38,634: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:56:38,634: INFO: common: created directory at: artifacts]
[2024-11-20 17:56:38,634: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 17:56:38,634: INFO: data_ingestion: File already exists of size: ~ 47 KB]
[2024-11-20 17:56:38,634: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-20 17:56:38,634: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2024-11-20 17:56:38,634: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 17:56:38,647: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 17:56:38,647: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 17:56:38,647: INFO: common: created directory at: artifacts]
[2024-11-20 17:56:38,647: INFO: common: created directory at: artifacts/data_validation]
[2024-11-20 17:56:38,647: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<

x==========x]
[2024-11-20 18:02:43,564: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-20 18:02:43,564: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 18:02:43,564: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 18:02:43,564: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 18:02:43,564: INFO: common: created directory at: artifacts]
[2024-11-20 18:02:43,564: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 18:02:43,564: INFO: data_ingestion: File already exists of size: ~ 47 KB]
[2024-11-20 18:02:43,564: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-20 18:02:43,564: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2024-11-20 18:02:43,564: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 18:02:43,564: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 18:02:43,564: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-11-20 18:02:43,564: INFO: common: created directory at: artifacts]
